Package	Version
dplyr	1.1.4
maps	3.4.2
coda	0.19-4.1
stringr	1.5.1
purrr	1.0.2
readr	2.1.5
reader	1.0.6
digest	0.6.37
tidyr	1.3.1
tibble	3.2.1
forcats	1.0.0
magrittr	2.0.3
reshape2	1.4.4
jsonlite	1.8.8
rsq	2.6
viridis	0.6.5
rlang	1.1.4
MASS	7.3-60.2
colorspace	2.1-1
ggalt	0.4.0
randomcoloR	1.1.0.1
ggplot2	3.5.1
ggrepel	0.9.5
psych	2.4.3
ggthemes	5.1.0
ggpubr	0.6.0
lemon	0.4.9
naniar	1.1.0
bib2df	1.1.2.0
fields	15.2
scales	1.3.0
xtable	1.8-4
ape	5.8
loo	2.7.0
adephylo	1.1-16
phytools	2.1-1
MCMCglmm	2.36
nFactors	2.4.1.1
sp	2.1-4
Matrix	1.7-0
raster	3.6-26
ade4	1.7-22
coda	0.19-4.1
pkgbuild	1.4.4
brms	2.21.0
mvtnorm	1.2-4
loo	2.7.0
